#Release 11.3 - par L.57 (nt)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Sun Dec 13 16:14:05 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       vga_control_map.ncd
#OUTPUT FILE:      vga_control_pad.csv
#PART TYPE:        xc3s700an
#SPEED GRADE:      -4
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
H16,,DIFFMI_NDT,IP_L47P_1/VREF_1,UNUSED,,1,,,,,,,,,
H17,,DIFFMI_NDT,IP_L39P_1,UNUSED,,1,,,,,,,,,
H18,,DIFFSI_NDT,IP_L39N_1,UNUSED,,1,,,,,,,,,
H19,Sl_rdDBus<86>,IOB,IO_L37N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H20,Sl_rdDBus<80>,IOB,IO_L33N_1/A17,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H21,Sl_rdDBus<79>,IOB,IO_L33P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H22,Sl_rdDBus<75>,IOB,IO_L30P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J1,,DIFFSLR,IO_L17N_3/VREF_3,UNUSED,,3,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,,DIFFMLR,IO_L17P_3,UNUSED,,3,,,,,,,,,
J4,,,GND,,,,,,,,,,,,
J5,Sl_rdDAck,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J6,,,VCCO_3,,,3,,,,,2.50,,,,
J7,,DIFFMI_NDT,IP_L11P_3,UNUSED,,3,,,,,,,,,
J8,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,GND,,,,,,,,,,,,
J15,,DIFFSI_NDT,IP_L43N_1/VREF_1,UNUSED,,1,,,,,,,,,
J16,,DIFFMI_NDT,IP_L43P_1,UNUSED,,1,,,,,,,,,
J17,,,VCCO_1,,,1,,,,,2.50,,,,
J18,Sl_rdDBus<85>,IOB,IO_L37P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J19,,,GND,,,,,,,,,,,,
J20,Sl_rdDBus<74>,IOB,IO_L29N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J21,Sl_rdDBus<73>,IOB,IO_L29P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J22,Sl_rdDBus<70>,IOB,IO_L26N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K1,,DIFFMLR,IO_L22P_3/LHCLK2,UNUSED,,3,,,,,,,,,
K2,,DIFFSLR,IO_L20N_3,UNUSED,,3,,,,,,,,,
K3,,DIFFMLR,IO_L20P_3,UNUSED,,3,,,,,,,,,
K4,Sl_rearbitrate,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K5,,DIFFMLR,IO_L18P_3,UNUSED,,3,,,,,,,,,
K6,Sl_MBusy<4>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K7,,DIFFMI_NDT,IP_L15P_3,UNUSED,,3,,,,,,,,,
K8,,DIFFSI_NDT,IP_L11N_3,UNUSED,,3,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,DIFFMI_NDT,IP_L35P_1/VREF_1,UNUSED,,1,,,,,,,,,
K15,,DIFFSI_NDT,IP_L35N_1,UNUSED,,1,,,,,,,,,
K16,,DIFFSI_NDT,IP_L31N_1,UNUSED,,1,,,,,,,,,
K17,Sl_rdDBus<77>,IOB,IO_L32P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K18,Sl_rdDBus<78>,IOB,IO_L32N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K19,Sl_rdDBus<68>,IOB,IO_L25N_1/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K20,Sl_rdDBus<67>,IOB,IO_L25P_1/IRDY1/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K21,,,VCCO_1,,,1,,,,,2.50,,,,
K22,Sl_rdDBus<69>,IOB,IO_L26P_1/A10,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L1,,DIFFSLR,IO_L22N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,DIFFSLR,IO_L21N_3/LHCLK1,UNUSED,,3,,,,,,,,,
L4,,,VCCAUX,,,,,,,,3.3,,,,
L5,,DIFFMLR,IO_L21P_3/LHCLK0,UNUSED,,3,,,,,,,,,
L6,,,GND,,,,,,,,,,,,
L7,,DIFFMI_NDT,IP_L19P_3,UNUSED,,3,,,,,,,,,
L8,,DIFFSI_NDT,IP_L15N_3/VREF_3,UNUSED,,3,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,DIFFMI_NDT,IP_L31P_1,UNUSED,,1,,,,,,,,,
L16,,DIFFSI_NDT,IP_L27N_1,UNUSED,,1,,,,,,,,,
L17,,,GND,,,,,,,,,,,,
L18,Sl_rdDBus<71>,IOB,IO_L28P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L19,Sl_rdDBus<72>,IOB,IO_L28N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L20,Sl_rdDBus<64>,IOB,IO_L22N_1/TRDY1/RHCLK3,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L21,Sl_rdDBus<63>,IOB,IO_L22P_1/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L22,Sl_rdDBus<62>,IOB,IO_L21N_1/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M1,,DIFFMLR,IO_L24P_3/LHCLK4,UNUSED,,3,,,,,,,,,
M2,,DIFFSLR,IO_L24N_3/LHCLK5,UNUSED,,3,,,,,,,,,
M3,,DIFFMLR,IO_L25P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
M4,,DIFFSLR,IO_L25N_3/LHCLK7,UNUSED,,3,,,,,,,,,
M5,,DIFFMLR,IO_L30P_3,UNUSED,,3,,,,,,,,,
M6,,DIFFSI_NDT,IP_L23N_3,UNUSED,,3,,,,,,,,,
M7,,DIFFMI_NDT,IP_L23P_3,UNUSED,,3,,,,,,,,,
M8,,DIFFSI_NDT,IP_L19N_3,UNUSED,,3,,,,,,,,,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,DIFFMI_NDT,IP_L27P_1/VREF_1,UNUSED,,1,,,,,,,,,
M16,,DIFFSI_NDT,IP_L23N_1,UNUSED,,1,,,,,,,,,
M17,,DIFFMI_NDT,IP_L23P_1,UNUSED,,1,,,,,,,,,
M18,Sl_rdDBus<65>,IOB,IO_L24P_1/RHCLK4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M19,,,VCCAUX,,,,,,,,3.3,,,,
M20,Sl_rdDBus<66>,IOB,IO_L24N_1/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M21,,,GND,,,,,,,,,,,,
M22,Sl_rdDBus<61>,IOB,IO_L21P_1/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N1,,DIFFMLR,IO_L26P_3/VREF_3,UNUSED,,3,,,,,,,,,
N2,,,VCCO_3,,,3,,,,,2.50,,,,
N3,,DIFFSLR,IO_L26N_3,UNUSED,,3,,,,,,,,,
N4,,DIFFSLR,IO_L30N_3,UNUSED,,3,,,,,,,,,
N5,,DIFFSI_NDT,IP_L31N_3,UNUSED,,3,,,,,,,,,
N6,,DIFFMI_NDT,IP_L31P_3,UNUSED,,3,,,,,,,,,
N7,,DIFFMI_NDT,IP_L35P_3,UNUSED,,3,,,,,,,,,
N8,,DIFFMI_NDT,IP_L27P_3,UNUSED,,3,,,,,,,,,
N9,,DIFFSI_NDT,IP_L27N_3,UNUSED,,3,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,DIFFMI_NDT,IP_L16P_1,UNUSED,,1,,,,,,,,,
N16,,DIFFSI_NDT,IP_L16N_1/VREF_1,UNUSED,,1,,,,,,,,,
N17,Sl_rdDBus<60>,IOB,IO_L20N_1/A9,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N18,Sl_rdDBus<59>,IOB,IO_L20P_1/A8,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N19,Sl_rdDBus<58>,IOB,IO_L19N_1/A7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N20,Sl_rdDBus<57>,IOB,IO_L19P_1/A6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N21,Sl_rdDBus<56>,IOB,IO_L18N_1/A5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N22,Sl_rdDBus<55>,IOB,IO_L18P_1/A4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P1,,DIFFMLR,IO_L28P_3,UNUSED,,3,,,,,,,,,
P2,,DIFFSLR,IO_L28N_3,UNUSED,,3,,,,,,,,,
P3,,DIFFMLR,IO_L29P_3,UNUSED,,3,,,,,,,,,
P4,,,GND,,,,,,,,,,,,
P5,,DIFFSLR,IO_L29N_3,UNUSED,,3,,,,,,,,,
P6,,,VCCO_3,,,3,,,,,2.50,,,,
P7,,DIFFMI_NDT,IP_L39P_3,UNUSED,,3,,,,,,,,,
P8,,DIFFSI_NDT,IP_L35N_3,UNUSED,,3,,,,,,,,,
P9,,,GND,,,,,,,,,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCAUX,,,,,,,,3.3,,,,
P12,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,,DIFFMI_NDT,IP_L08P_1,UNUSED,,1,,,,,,,,,
P16,,DIFFSI_NDT,IP_L08N_1,UNUSED,,1,,,,,,,,,
P17,,,VCCO_1,,,1,,,,,2.50,,,,
P18,Sl_rdDBus<54>,IOB,IO_L17N_1/A3,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,Sl_rdDBus<51>,IOB,IO_L15P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P21,,,VCCO_1,,,1,,,,,2.50,,,,
P22,Sl_rdDBus<52>,IOB,IO_L15N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R1,,DIFFMLR,IO_L32P_3,UNUSED,,3,,,,,,,,,
R2,,DIFFSLR,IO_L32N_3,UNUSED,,3,,,,,,,,,
R3,,DIFFMLR,IO_L33P_3,UNUSED,,3,,,,,,,,,
R4,,DIFFSLR,IO_L33N_3,UNUSED,,3,,,,,,,,,
R5,,DIFFMLR,IO_L34P_3,UNUSED,,3,,,,,,,,,
R6,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
R7,,DIFFMI_NDT,IP_L46P_3,UNUSED,,3,,,,,,,,,
R8,,DIFFSI_NDT,IP_L39N_3,UNUSED,,3,,,,,,,,,
R9,PLB_ABus<1>,IBUF,IP_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R10,PLB_ABus<16>,IBUF,IP_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R11,PLB_ABus<25>,IBUF,IP_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R12,PLB_ABus<30>,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R13,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
R14,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
R15,,DIFFMI_NDT,IP_L04P_1,UNUSED,,1,,,,,,,,,
R16,,DIFFSI_NDT,IP_L04N_1/VREF_1,UNUSED,,1,,,,,,,,,
R17,,DIFFMI_NDT,IP_L12P_1,UNUSED,,1,,,,,,,,,
R18,,DIFFSI_NDT,IP_L12N_1/VREF_1,UNUSED,,1,,,,,,,,,
R19,Sl_rdDBus<53>,IOB,IO_L17P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R20,Sl_rdDBus<47>,IOB,IO_L13P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R21,Sl_rdDBus<49>,IOB,IO_L14P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R22,Sl_rdDBus<50>,IOB,IO_L14N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T1,,DIFFMLR,IO_L36P_3/VREF_3,UNUSED,,3,,,,,,,,,
T2,,,GND,,,,,,,,,,,,
T3,,DIFFSLR,IO_L36N_3,UNUSED,,3,,,,,,,,,
T4,,DIFFSLR,IO_L34N_3,UNUSED,,3,,,,,,,,,
T5,,DIFFMLR,IO_L40P_3,UNUSED,,3,,,,,,,,,
T6,,DIFFSI_NDT,IP_L46N_3/VREF_3,UNUSED,,3,,,,,,,,,
T7,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T8,,,NC,,,,,,,,,,,,
T9,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
T10,PLB_ABus<6>,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
T11,PLB_ABus<21>,IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
T12,,,GND,,,,,,,,,,,,
T13,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
T14,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
T15,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T16,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
T17,Sl_rdDBus<33>,IOB,IO_L03P_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T18,Sl_rdDBus<34>,IOB,IO_L03N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T19,Sl_rdDBus<48>,IOB,IO_L13N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T20,Sl_rdDBus<45>,IOB,IO_L11P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T21,,,GND,,,,,,,,,,,,
T22,Sl_rdDBus<46>,IOB,IO_L11N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U1,,DIFFMLR,IO_L37P_3,UNUSED,,3,,,,,,,,,
U2,,DIFFSLR,IO_L37N_3,UNUSED,,3,,,,,,,,,
U3,,DIFFMLR,IO_L41P_3,UNUSED,,3,,,,,,,,,
U4,,DIFFSLR,IO_L41N_3,UNUSED,,3,,,,,,,,,
U5,,DIFFSLR,IO_L40N_3,UNUSED,,3,,,,,,,,,
U6,,,GND,,,,,,,,,,,,
U7,,,NC,,,,,,,,,,,,
U8,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
U9,,,VCCO_2,,,2,,,,,2.50,,,,
U10,PLB_ABus<11>,IBUF,IP_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
U11,PLB_ABus<19>,IBUF,IO_L17P_2/GCLK12,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
U12,Sl_MIRQ<1>,IOB,IO_L20N_2/GCLK3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U13,Sl_rdDBus<8>,IOB,IO_L26N_2/D3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U14,,,VCCO_2,,,2,,,,,2.50,,,,
U15,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
U16,,,NC,,,,,,,,,,,,
U17,,,GND,,,,,,,,,,,,
U18,,,SUSPEND,,,,,,,,,,,,
U19,Sl_rdDBus<44>,IOB,IO_L10N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U20,Sl_rdDBus<43>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U21,Sl_rdDBus<42>,IOB,IO_L09N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U22,Sl_rdDBus<41>,IOB,IO_L09P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V1,,DIFFMLR,IO_L38P_3,UNUSED,,3,,,,,,,,,
V2,,,VCCO_3,,,3,,,,,2.50,,,,
V3,,DIFFSLR,IO_L38N_3,UNUSED,,3,,,,,,,,,
V4,,DIFFMLR,IO_L43P_3,UNUSED,,3,,,,,,,,,
V5,,,VCCAUX,,,,,,,,3.3,,,,
V6,Sl_MWrErr<0>,IOB,IO_L01P_2/M1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V7,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
V8,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,PLB_ABus<28>,IBUF,IO_L09P_2/RDWR_B,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
V10,PLB_ABus<9>,IBUF,IO_L13P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
V11,PLB_ABus<20>,IBUF,IO_L17N_2/GCLK13,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
V12,PLB_ABus<29>,IBUF,IO_L20P_2/GCLK2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
V13,Sl_rdDBus<7>,IOB,IO_L26P_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V14,Sl_rdDBus<15>,IOB,IO_L30P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V15,Sl_rdDBus<16>,IOB,IO_L30N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V16,Sl_rdDBus<18>,IOB,IO_L31N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V17,Sl_rdDBus<22>,IOB,IO_L33N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V18,,,VCCAUX,,,,,,,,3.3,,,,
V19,Sl_rdDBus<37>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V20,Sl_rdDBus<38>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V21,,,VCCO_1,,,1,,,,,2.50,,,,
V22,Sl_rdDBus<40>,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W1,,DIFFMLR,IO_L42P_3,UNUSED,,3,,,,,,,,,
W2,,DIFFSLR,IO_L42N_3,UNUSED,,3,,,,,,,,,
W3,,DIFFSLR,IO_L43N_3,UNUSED,,3,,,,,,,,,
W4,Sl_MWrErr<2>,IOB,IO_L02P_2/M2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W5,Sl_MWrErr<1>,IOB,IO_L01N_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W6,Sl_MIRQ<4>,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W7,Sl_MIRQ<5>,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W8,PLB_ABus<4>,IBUF,IO_L11P_2/VS1,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
W9,PLB_ABus<0>,IBUF,IO_L09N_2/VS2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
W10,,,GND,,,,,,,,,,,,
W11,,,VCCAUX,,,,,,,,3.3,,,,
W12,PLB_ABus<22>,IBUF,IO_L18P_2/GCLK14,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
W13,Sl_rdDBus<1>,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W14,,,GND,,,,,,,,,,,,
W15,Sl_rdDBus<5>,IOB,IO_L25P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W16,Sl_rdDBus<17>,IOB,IO_L31P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W17,Sl_rdDBus<24>,IOB,IO_L34N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W18,Sl_rdDBus<21>,IOB,IO_L33P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W19,Sl_rdDBus<31>,IOB,IO_L02P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W20,Sl_rdDBus<32>,IOB,IO_L02N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W21,Sl_rdDBus<36>,IOB,IO_L05N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
W22,Sl_rdDBus<39>,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y1,,DIFFMLR,IO_L44P_3,UNUSED,,3,,,,,,,,,
Y2,,DIFFSLR,IO_L44N_3,UNUSED,,3,,,,,,,,,
Y3,,,GND,,,,,,,,,,,,
Y4,Sl_MWrErr<3>,IOB,IO_L02N_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y5,Sl_MIRQ<0>,IOB,IO_L05N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y6,PLB_PAValid,IBUF,IO_L07N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y7,PLB_ABus<2>,IBUF,IO_L10P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y8,PLB_ABus<5>,IBUF,IO_L11N_2/VS0,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y9,PLB_ABus<12>,IBUF,IO_L14P_2/D7,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y10,PLB_ABus<10>,IBUF,IO_L13N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y11,PLB_ABus<17>,IBUF,IO_L16P_2/D5,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y12,SPLB_Clk,IBUF,IO_L18N_2/GCLK15,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y13,PLB_ABus<31>,IBUF,IO_L21N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
Y14,Sl_rdDBus<2>,IOB,IO_L23N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y15,Sl_rdDBus<6>,IOB,IO_L25N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y16,Sl_rdDBus<10>,IOB,IO_L27N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y17,Sl_rdDBus<12>,IOB,IO_L28N_2/D1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y18,Sl_rdDBus<23>,IOB,IO_L34P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y19,,,DONE,,,,,,,,,,,,
Y20,,,GND,,,,,,,,,,,,
Y21,Sl_rdDBus<30>,IOB,IO_L01N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
Y22,Sl_rdDBus<35>,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,

